Object_ID,Area,Centroid_X,Centroid_Y,Aspect_Ratio,Average_Color,Label
0,0.0,0,0,2.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
1,0.0,0,0,5.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
2,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
3,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
4,1.5,291,154,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
5,0.0,0,0,2.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
6,65.0,108,141,1.5833333333333333,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
7,46.5,299,133,0.375,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
8,4.0,291,121,1.5,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
9,0.0,0,0,0.1111111111111111,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
10,0.0,0,0,0.42857142857142855,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
11,0.0,0,0,3.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
12,8.5,265,108,3.6666666666666665,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
13,861.0,271,122,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
14,31.0,268,96,2.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
15,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
16,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
17,1.5,72,79,2.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
18,66.0,103,82,1.1111111111111112,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
19,1.0,88,77,4.5,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
20,1.5,162,76,1.6666666666666667,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
21,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
22,5.0,111,69,1.75,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
23,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
24,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
25,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
26,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
27,23.5,1,71,0.5555555555555556,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
28,0.0,0,0,2.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
29,20.5,260,68,1.8,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
30,1.0,95,67,2.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
31,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
32,10.0,96,61,1.75,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
33,35.0,114,60,3.5,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
34,34.5,137,57,1.5714285714285714,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
35,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
36,29.0,116,51,1.6666666666666667,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
37,15.0,0,54,0.21428571428571427,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
38,0.0,0,0,0.5,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
39,0.0,0,0,2.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
40,1.5,164,37,1.5,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
41,95.0,256,37,2.375,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
42,31.0,37,33,2.6,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
43,125.0,10,36,2.1666666666666665,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
44,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
45,13543.5,193,92,1.3863636363636365,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",No Match
46,7078.0,45,94,0.8549618320610687,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",No Match
47,1.5,102,21,1.3333333333333333,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
48,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
49,79.5,122,21,4.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
50,0.0,0,0,1.0,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
51,5.0,149,17,1.75,"[18.369599872469312, 55.95430814602263, 82.57169615813805]",Matched Object
